module_a,module_b,module_a_genes_n,module_b_genes_n,shared_genes_n,jaccard_index,percent_module_b_shared,shared_gene_symbols
immune-maturity-like,DC/APC,32,8,8,0.25,1.0,CCR7;CD1C;CLEC9A;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DRA;LAMP3
immune-maturity-like,EMT/invasion,32,7,0,0.0,0.0,
immune-maturity-like,FDC/GC-like,32,6,6,0.1875,1.0,AICDA;BCL6;CR2;CXCR5;FCER2;MKI67
immune-maturity-like,IFN/MHC antigen-presentation,32,9,5,0.1388888888888889,0.5555555555555556,CXCL10;CXCL9;HLA-DPA1;HLA-DPB1;HLA-DRA
immune-maturity-like,IL6-OSM/LIF-JAKSTAT,32,8,0,0.0,0.0,
immune-maturity-like,SPP1-CD44/integrin,32,8,0,0.0,0.0,
immune-maturity-like,SPP1/TAM,32,6,0,0.0,0.0,
immune-maturity-like,T cell,32,5,0,0.0,0.0,
immune-maturity-like,TGF-beta,32,6,0,0.0,0.0,
immune-maturity-like,TGF-beta/EMT,32,13,0,0.0,0.0,
immune-maturity-like,TGF-beta/TGFBR,32,8,0,0.0,0.0,
immune-maturity-like,TLS chemokine,32,5,5,0.15625,1.0,CCL19;CCL21;CXCL10;CXCL13;CXCL9
immune-maturity-like,acinar_normal,32,5,0,0.0,0.0,
immune-maturity-like,apCAF,32,5,3,0.08823529411764706,0.6,CD74;HLA-DPA1;HLA-DRA
immune-maturity-like,basal-like,32,7,0,0.0,0.0,
immune-maturity-like,cd8_effector,32,6,0,0.0,0.0,
immune-maturity-like,hypoxia,32,6,0,0.0,0.0,
immune-maturity-like,iCAF,32,7,0,0.0,0.0,
immune-maturity-like,immune-core,32,32,23,0.5609756097560976,0.71875,BANK1;CCR7;CD19;CD1C;CD74;CD79A;CD79B;CLEC9A;CXCL10;CXCL9;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DRA;IGHA1;IGHG1;IGKC;JCHAIN;LAMP3;MS4A1;MZB1;SDC1;XBP1
immune-maturity-like,immune-maturity-like,32,32,32,1.0,1.0,AICDA;BANK1;BCL6;CCL19;CCL21;CCR7;CD19;CD1C;CD74;CD79A;CD79B;CLEC9A;CR2;CXCL10;CXCL13;CXCL9;CXCR5;FCER2;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DRA;IGHA1;IGHG1;IGKC;JCHAIN;LAMP3;MKI67;MS4A1;MZB1;SDC1;XBP1
immune-maturity-like,islet_endocrine,32,5,0,0.0,0.0,
immune-maturity-like,matrix-integrin,32,10,0,0.0,0.0,
immune-maturity-like,myCAF,32,8,0,0.0,0.0,
immune-maturity-like,myCAF/matrix,32,11,0,0.0,0.0,
immune-maturity-like,myeloid,32,8,0,0.0,0.0,
immune-maturity-like,neural_schwann,32,7,0,0.0,0.0,
immune-maturity-like,panCAF,32,7,0,0.0,0.0,
immune-maturity-like,pdac_classical_like,32,7,0,0.0,0.0,
immune-maturity-like,plasma cell,32,7,7,0.21875,1.0,IGHA1;IGHG1;IGKC;JCHAIN;MZB1;SDC1;XBP1
immune-maturity-like,proliferation,32,6,1,0.02702702702702703,0.16666666666666666,MKI67
immune-maturity-like,t_cell_exhaustion_checkpoint,32,6,0,0.0,0.0,
immune-maturity-like,tumor epithelial,32,6,0,0.0,0.0,
immune-maturity-like,tumor-aggressive,32,20,0,0.0,0.0,
islet_endocrine,B cell,5,6,0,0.0,0.0,
islet_endocrine,CAF-myeloid,5,25,0,0.0,0.0,
islet_endocrine,DC/APC,5,8,0,0.0,0.0,
islet_endocrine,EMT/invasion,5,7,0,0.0,0.0,
islet_endocrine,FDC/GC-like,5,6,0,0.0,0.0,
islet_endocrine,IFN/MHC antigen-presentation,5,9,0,0.0,0.0,
islet_endocrine,IL6-OSM/LIF-JAKSTAT,5,8,0,0.0,0.0,
islet_endocrine,SPP1-CD44/integrin,5,8,0,0.0,0.0,
islet_endocrine,SPP1/TAM,5,6,0,0.0,0.0,
islet_endocrine,T cell,5,5,0,0.0,0.0,
islet_endocrine,TGF-beta,5,6,0,0.0,0.0,
islet_endocrine,TGF-beta/EMT,5,13,0,0.0,0.0,
islet_endocrine,TGF-beta/TGFBR,5,8,0,0.0,0.0,
islet_endocrine,TLS chemokine,5,5,0,0.0,0.0,
islet_endocrine,acinar_normal,5,5,0,0.0,0.0,
islet_endocrine,apCAF,5,5,0,0.0,0.0,
islet_endocrine,basal-like,5,7,0,0.0,0.0,
islet_endocrine,cd8_effector,5,6,0,0.0,0.0,
islet_endocrine,hypoxia,5,6,0,0.0,0.0,
islet_endocrine,iCAF,5,7,0,0.0,0.0,
islet_endocrine,immune-core,5,32,0,0.0,0.0,
islet_endocrine,immune-maturity-like,5,32,0,0.0,0.0,
islet_endocrine,islet_endocrine,5,5,5,1.0,1.0,GCG;IAPP;INS;PPY;SST
islet_endocrine,matrix-integrin,5,10,0,0.0,0.0,
islet_endocrine,myCAF,5,8,0,0.0,0.0,
islet_endocrine,myCAF/matrix,5,11,0,0.0,0.0,
islet_endocrine,myeloid,5,8,0,0.0,0.0,
islet_endocrine,neural_schwann,5,7,0,0.0,0.0,
islet_endocrine,panCAF,5,7,0,0.0,0.0,
islet_endocrine,pdac_classical_like,5,7,0,0.0,0.0,
islet_endocrine,plasma cell,5,7,0,0.0,0.0,
islet_endocrine,proliferation,5,6,0,0.0,0.0,
islet_endocrine,t_cell_exhaustion_checkpoint,5,6,0,0.0,0.0,
islet_endocrine,tumor epithelial,5,6,0,0.0,0.0,
islet_endocrine,tumor-aggressive,5,20,0,0.0,0.0,
matrix-integrin,B cell,10,6,0,0.0,0.0,
matrix-integrin,CAF-myeloid,10,25,5,0.16666666666666666,0.2,COL1A1;COL1A2;COL3A1;DCN;LUM
matrix-integrin,DC/APC,10,8,0,0.0,0.0,
matrix-integrin,EMT/invasion,10,7,2,0.13333333333333333,0.2857142857142857,FN1;ITGA5
matrix-integrin,FDC/GC-like,10,6,0,0.0,0.0,
matrix-integrin,IFN/MHC antigen-presentation,10,9,0,0.0,0.0,
matrix-integrin,IL6-OSM/LIF-JAKSTAT,10,8,0,0.0,0.0,
matrix-integrin,SPP1-CD44/integrin,10,8,3,0.2,0.375,ITGA5;ITGAV;ITGB1
matrix-integrin,SPP1/TAM,10,6,0,0.0,0.0,
matrix-integrin,T cell,10,5,0,0.0,0.0,
matrix-integrin,TGF-beta,10,6,0,0.0,0.0,
matrix-integrin,TGF-beta/EMT,10,13,2,0.09523809523809523,0.15384615384615385,FN1;ITGA5
matrix-integrin,TGF-beta/TGFBR,10,8,0,0.0,0.0,
matrix-integrin,TLS chemokine,10,5,0,0.0,0.0,
matrix-integrin,acinar_normal,10,5,0,0.0,0.0,
matrix-integrin,apCAF,10,5,0,0.0,0.0,
matrix-integrin,basal-like,10,7,1,0.0625,0.14285714285714285,ITGA3
matrix-integrin,cd8_effector,10,6,0,0.0,0.0,
matrix-integrin,hypoxia,10,6,0,0.0,0.0,
matrix-integrin,iCAF,10,7,0,0.0,0.0,
matrix-integrin,immune-core,10,32,0,0.0,0.0,
matrix-integrin,immune-maturity-like,10,32,0,0.0,0.0,
matrix-integrin,islet_endocrine,10,5,0,0.0,0.0,
matrix-integrin,matrix-integrin,10,10,10,1.0,1.0,COL1A1;COL1A2;COL3A1;DCN;FN1;ITGA3;ITGA5;ITGAV;ITGB1;LUM
matrix-integrin,myCAF,10,8,5,0.38461538461538464,0.625,COL1A1;COL1A2;COL3A1;DCN;LUM
matrix-integrin,myCAF/matrix,10,11,5,0.3125,0.45454545454545453,COL1A1;COL1A2;COL3A1;DCN;LUM
matrix-integrin,myeloid,10,8,0,0.0,0.0,
matrix-integrin,neural_schwann,10,7,0,0.0,0.0,
matrix-integrin,panCAF,10,7,4,0.3076923076923077,0.5714285714285714,COL1A1;COL3A1;DCN;LUM
matrix-integrin,pdac_classical_like,10,7,0,0.0,0.0,
matrix-integrin,plasma cell,10,7,0,0.0,0.0,
matrix-integrin,proliferation,10,6,0,0.0,0.0,
matrix-integrin,t_cell_exhaustion_checkpoint,10,6,0,0.0,0.0,
matrix-integrin,tumor epithelial,10,6,0,0.0,0.0,
matrix-integrin,tumor-aggressive,10,20,3,0.1111111111111111,0.15,FN1;ITGA3;ITGA5
myCAF,B cell,8,6,0,0.0,0.0,
myCAF,CAF-myeloid,8,25,8,0.32,0.32,ACTA2;COL1A1;COL1A2;COL3A1;DCN;LUM;MYL9;TAGLN
myCAF,DC/APC,8,8,0,0.0,0.0,
myCAF,EMT/invasion,8,7,0,0.0,0.0,
myCAF,FDC/GC-like,8,6,0,0.0,0.0,
myCAF,IFN/MHC antigen-presentation,8,9,0,0.0,0.0,
myCAF,IL6-OSM/LIF-JAKSTAT,8,8,0,0.0,0.0,
myCAF,SPP1-CD44/integrin,8,8,0,0.0,0.0,
myCAF,SPP1/TAM,8,6,0,0.0,0.0,
myCAF,T cell,8,5,0,0.0,0.0,
myCAF,TGF-beta,8,6,0,0.0,0.0,
myCAF,TGF-beta/EMT,8,13,0,0.0,0.0,
myCAF,TGF-beta/TGFBR,8,8,0,0.0,0.0,
myCAF,TLS chemokine,8,5,0,0.0,0.0,
myCAF,acinar_normal,8,5,0,0.0,0.0,
myCAF,apCAF,8,5,0,0.0,0.0,
myCAF,basal-like,8,7,0,0.0,0.0,
myCAF,cd8_effector,8,6,0,0.0,0.0,
myCAF,hypoxia,8,6,0,0.0,0.0,
myCAF,iCAF,8,7,0,0.0,0.0,
myCAF,immune-core,8,32,0,0.0,0.0,
myCAF,immune-maturity-like,8,32,0,0.0,0.0,
myCAF,islet_endocrine,8,5,0,0.0,0.0,
myCAF,matrix-integrin,8,10,5,0.38461538461538464,0.5,COL1A1;COL1A2;COL3A1;DCN;LUM
myCAF,myCAF,8,8,8,1.0,1.0,ACTA2;COL1A1;COL1A2;COL3A1;DCN;LUM;MYL9;TAGLN
myCAF,myCAF/matrix,8,11,8,0.7272727272727273,0.7272727272727273,ACTA2;COL1A1;COL1A2;COL3A1;DCN;LUM;MYL9;TAGLN
myCAF,myeloid,8,8,0,0.0,0.0,
myCAF,neural_schwann,8,7,0,0.0,0.0,
myCAF,panCAF,8,7,4,0.36363636363636365,0.5714285714285714,COL1A1;COL3A1;DCN;LUM
myCAF,pdac_classical_like,8,7,0,0.0,0.0,
myCAF,plasma cell,8,7,0,0.0,0.0,
myCAF,proliferation,8,6,0,0.0,0.0,
myCAF,t_cell_exhaustion_checkpoint,8,6,0,0.0,0.0,
myCAF,tumor epithelial,8,6,0,0.0,0.0,
myCAF,tumor-aggressive,8,20,0,0.0,0.0,
myCAF/matrix,B cell,11,6,0,0.0,0.0,
myCAF/matrix,CAF-myeloid,11,25,11,0.44,0.44,ACTA2;COL1A1;COL1A2;COL3A1;DCN;FAP;LUM;MYL9;PDPN;TAGLN;THY1
myCAF/matrix,DC/APC,11,8,0,0.0,0.0,
myCAF/matrix,EMT/invasion,11,7,0,0.0,0.0,
myCAF/matrix,FDC/GC-like,11,6,0,0.0,0.0,
myCAF/matrix,IFN/MHC antigen-presentation,11,9,0,0.0,0.0,
myCAF/matrix,IL6-OSM/LIF-JAKSTAT,11,8,0,0.0,0.0,
myCAF/matrix,SPP1-CD44/integrin,11,8,0,0.0,0.0,
myCAF/matrix,SPP1/TAM,11,6,0,0.0,0.0,
myCAF/matrix,T cell,11,5,0,0.0,0.0,
myCAF/matrix,TGF-beta,11,6,0,0.0,0.0,
myCAF/matrix,TGF-beta/EMT,11,13,0,0.0,0.0,
myCAF/matrix,TGF-beta/TGFBR,11,8,0,0.0,0.0,
myCAF/matrix,TLS chemokine,11,5,0,0.0,0.0,
myCAF/matrix,acinar_normal,11,5,0,0.0,0.0,
myCAF/matrix,apCAF,11,5,0,0.0,0.0,
myCAF/matrix,basal-like,11,7,0,0.0,0.0,
myCAF/matrix,cd8_effector,11,6,0,0.0,0.0,
myCAF/matrix,hypoxia,11,6,0,0.0,0.0,
myCAF/matrix,iCAF,11,7,1,0.058823529411764705,0.14285714285714285,PDPN
myCAF/matrix,immune-core,11,32,0,0.0,0.0,
myCAF/matrix,immune-maturity-like,11,32,0,0.0,0.0,
myCAF/matrix,islet_endocrine,11,5,0,0.0,0.0,
myCAF/matrix,matrix-integrin,11,10,5,0.3125,0.5,COL1A1;COL1A2;COL3A1;DCN;LUM
myCAF/matrix,myCAF,11,8,8,0.7272727272727273,1.0,ACTA2;COL1A1;COL1A2;COL3A1;DCN;LUM;MYL9;TAGLN
myCAF/matrix,myCAF/matrix,11,11,11,1.0,1.0,ACTA2;COL1A1;COL1A2;COL3A1;DCN;FAP;LUM;MYL9;PDPN;TAGLN;THY1
myCAF/matrix,myeloid,11,8,0,0.0,0.0,
myCAF/matrix,neural_schwann,11,7,0,0.0,0.0,
myCAF/matrix,panCAF,11,7,7,0.6363636363636364,1.0,COL1A1;COL3A1;DCN;FAP;LUM;PDPN;THY1
myCAF/matrix,pdac_classical_like,11,7,0,0.0,0.0,
myCAF/matrix,plasma cell,11,7,0,0.0,0.0,
myCAF/matrix,proliferation,11,6,0,0.0,0.0,
myCAF/matrix,t_cell_exhaustion_checkpoint,11,6,0,0.0,0.0,
myCAF/matrix,tumor epithelial,11,6,0,0.0,0.0,
myCAF/matrix,tumor-aggressive,11,20,0,0.0,0.0,
myeloid,B cell,8,6,0,0.0,0.0,
myeloid,CAF-myeloid,8,25,8,0.32,0.32,C1QA;C1QB;C1QC;CD68;FCGR3A;LST1;MRC1;MSR1
myeloid,DC/APC,8,8,0,0.0,0.0,
myeloid,EMT/invasion,8,7,0,0.0,0.0,
myeloid,FDC/GC-like,8,6,0,0.0,0.0,
myeloid,IFN/MHC antigen-presentation,8,9,0,0.0,0.0,
myeloid,IL6-OSM/LIF-JAKSTAT,8,8,0,0.0,0.0,
myeloid,SPP1-CD44/integrin,8,8,0,0.0,0.0,
myeloid,SPP1/TAM,8,6,0,0.0,0.0,
myeloid,T cell,8,5,0,0.0,0.0,
myeloid,TGF-beta,8,6,0,0.0,0.0,
myeloid,TGF-beta/EMT,8,13,0,0.0,0.0,
myeloid,TGF-beta/TGFBR,8,8,0,0.0,0.0,
myeloid,TLS chemokine,8,5,0,0.0,0.0,
myeloid,acinar_normal,8,5,0,0.0,0.0,
myeloid,apCAF,8,5,0,0.0,0.0,
myeloid,basal-like,8,7,0,0.0,0.0,
myeloid,cd8_effector,8,6,0,0.0,0.0,
myeloid,hypoxia,8,6,0,0.0,0.0,
myeloid,iCAF,8,7,0,0.0,0.0,
myeloid,immune-core,8,32,0,0.0,0.0,
myeloid,immune-maturity-like,8,32,0,0.0,0.0,
myeloid,islet_endocrine,8,5,0,0.0,0.0,
myeloid,matrix-integrin,8,10,0,0.0,0.0,
myeloid,myCAF,8,8,0,0.0,0.0,
myeloid,myCAF/matrix,8,11,0,0.0,0.0,
myeloid,myeloid,8,8,8,1.0,1.0,C1QA;C1QB;C1QC;CD68;FCGR3A;LST1;MRC1;MSR1
myeloid,neural_schwann,8,7,0,0.0,0.0,
myeloid,panCAF,8,7,0,0.0,0.0,
myeloid,pdac_classical_like,8,7,0,0.0,0.0,
myeloid,plasma cell,8,7,0,0.0,0.0,
myeloid,proliferation,8,6,0,0.0,0.0,
myeloid,t_cell_exhaustion_checkpoint,8,6,0,0.0,0.0,
myeloid,tumor epithelial,8,6,0,0.0,0.0,
myeloid,tumor-aggressive,8,20,0,0.0,0.0,
neural_schwann,B cell,7,6,0,0.0,0.0,
neural_schwann,CAF-myeloid,7,25,0,0.0,0.0,
neural_schwann,DC/APC,7,8,0,0.0,0.0,
neural_schwann,EMT/invasion,7,7,0,0.0,0.0,
neural_schwann,FDC/GC-like,7,6,0,0.0,0.0,
neural_schwann,IFN/MHC antigen-presentation,7,9,0,0.0,0.0,
neural_schwann,IL6-OSM/LIF-JAKSTAT,7,8,0,0.0,0.0,
neural_schwann,SPP1-CD44/integrin,7,8,0,0.0,0.0,
neural_schwann,SPP1/TAM,7,6,0,0.0,0.0,
neural_schwann,T cell,7,5,0,0.0,0.0,
neural_schwann,TGF-beta,7,6,0,0.0,0.0,
neural_schwann,TGF-beta/EMT,7,13,0,0.0,0.0,
neural_schwann,TGF-beta/TGFBR,7,8,0,0.0,0.0,
neural_schwann,TLS chemokine,7,5,0,0.0,0.0,
neural_schwann,acinar_normal,7,5,0,0.0,0.0,
neural_schwann,apCAF,7,5,0,0.0,0.0,
neural_schwann,basal-like,7,7,0,0.0,0.0,
neural_schwann,cd8_effector,7,6,0,0.0,0.0,
neural_schwann,hypoxia,7,6,0,0.0,0.0,
neural_schwann,iCAF,7,7,0,0.0,0.0,
neural_schwann,immune-core,7,32,0,0.0,0.0,
neural_schwann,immune-maturity-like,7,32,0,0.0,0.0,
neural_schwann,islet_endocrine,7,5,0,0.0,0.0,
neural_schwann,matrix-integrin,7,10,0,0.0,0.0,
neural_schwann,myCAF,7,8,0,0.0,0.0,
neural_schwann,myCAF/matrix,7,11,0,0.0,0.0,
neural_schwann,myeloid,7,8,0,0.0,0.0,
neural_schwann,neural_schwann,7,7,7,1.0,1.0,GFRA3;MBP;MPZ;NGFR;PLP1;S100B;SOX10
neural_schwann,panCAF,7,7,0,0.0,0.0,
neural_schwann,pdac_classical_like,7,7,0,0.0,0.0,
neural_schwann,plasma cell,7,7,0,0.0,0.0,
neural_schwann,proliferation,7,6,0,0.0,0.0,
neural_schwann,t_cell_exhaustion_checkpoint,7,6,0,0.0,0.0,
neural_schwann,tumor epithelial,7,6,0,0.0,0.0,
neural_schwann,tumor-aggressive,7,20,0,0.0,0.0,
panCAF,B cell,7,6,0,0.0,0.0,
panCAF,CAF-myeloid,7,25,7,0.28,0.28,COL1A1;COL3A1;DCN;FAP;LUM;PDPN;THY1
panCAF,DC/APC,7,8,0,0.0,0.0,
panCAF,EMT/invasion,7,7,0,0.0,0.0,
panCAF,FDC/GC-like,7,6,0,0.0,0.0,
panCAF,IFN/MHC antigen-presentation,7,9,0,0.0,0.0,
panCAF,IL6-OSM/LIF-JAKSTAT,7,8,0,0.0,0.0,
panCAF,SPP1-CD44/integrin,7,8,0,0.0,0.0,
panCAF,SPP1/TAM,7,6,0,0.0,0.0,
panCAF,T cell,7,5,0,0.0,0.0,
panCAF,TGF-beta,7,6,0,0.0,0.0,
panCAF,TGF-beta/EMT,7,13,0,0.0,0.0,
panCAF,TGF-beta/TGFBR,7,8,0,0.0,0.0,
panCAF,TLS chemokine,7,5,0,0.0,0.0,
panCAF,acinar_normal,7,5,0,0.0,0.0,
panCAF,apCAF,7,5,0,0.0,0.0,
panCAF,basal-like,7,7,0,0.0,0.0,
panCAF,cd8_effector,7,6,0,0.0,0.0,
panCAF,hypoxia,7,6,0,0.0,0.0,
panCAF,iCAF,7,7,1,0.07692307692307693,0.14285714285714285,PDPN
panCAF,immune-core,7,32,0,0.0,0.0,
panCAF,immune-maturity-like,7,32,0,0.0,0.0,
panCAF,islet_endocrine,7,5,0,0.0,0.0,
panCAF,matrix-integrin,7,10,4,0.3076923076923077,0.4,COL1A1;COL3A1;DCN;LUM
panCAF,myCAF,7,8,4,0.36363636363636365,0.5,COL1A1;COL3A1;DCN;LUM
panCAF,myCAF/matrix,7,11,7,0.6363636363636364,0.6363636363636364,COL1A1;COL3A1;DCN;FAP;LUM;PDPN;THY1
panCAF,myeloid,7,8,0,0.0,0.0,
panCAF,neural_schwann,7,7,0,0.0,0.0,
panCAF,panCAF,7,7,7,1.0,1.0,COL1A1;COL3A1;DCN;FAP;LUM;PDPN;THY1
panCAF,pdac_classical_like,7,7,0,0.0,0.0,
panCAF,plasma cell,7,7,0,0.0,0.0,
panCAF,proliferation,7,6,0,0.0,0.0,
panCAF,t_cell_exhaustion_checkpoint,7,6,0,0.0,0.0,
panCAF,tumor epithelial,7,6,0,0.0,0.0,
panCAF,tumor-aggressive,7,20,0,0.0,0.0,
pdac_classical_like,B cell,7,6,0,0.0,0.0,
pdac_classical_like,CAF-myeloid,7,25,0,0.0,0.0,
pdac_classical_like,DC/APC,7,8,0,0.0,0.0,
pdac_classical_like,EMT/invasion,7,7,0,0.0,0.0,
pdac_classical_like,FDC/GC-like,7,6,0,0.0,0.0,
pdac_classical_like,IFN/MHC antigen-presentation,7,9,0,0.0,0.0,
pdac_classical_like,IL6-OSM/LIF-JAKSTAT,7,8,0,0.0,0.0,
pdac_classical_like,SPP1-CD44/integrin,7,8,0,0.0,0.0,
pdac_classical_like,SPP1/TAM,7,6,0,0.0,0.0,
pdac_classical_like,T cell,7,5,0,0.0,0.0,
pdac_classical_like,TGF-beta,7,6,0,0.0,0.0,
pdac_classical_like,TGF-beta/EMT,7,13,0,0.0,0.0,
pdac_classical_like,TGF-beta/TGFBR,7,8,0,0.0,0.0,
pdac_classical_like,TLS chemokine,7,5,0,0.0,0.0,
pdac_classical_like,acinar_normal,7,5,0,0.0,0.0,
pdac_classical_like,apCAF,7,5,0,0.0,0.0,
pdac_classical_like,basal-like,7,7,0,0.0,0.0,
pdac_classical_like,cd8_effector,7,6,0,0.0,0.0,
pdac_classical_like,hypoxia,7,6,0,0.0,0.0,
pdac_classical_like,iCAF,7,7,0,0.0,0.0,
pdac_classical_like,immune-core,7,32,0,0.0,0.0,
pdac_classical_like,immune-maturity-like,7,32,0,0.0,0.0,
pdac_classical_like,islet_endocrine,7,5,0,0.0,0.0,
pdac_classical_like,matrix-integrin,7,10,0,0.0,0.0,
pdac_classical_like,myCAF,7,8,0,0.0,0.0,
pdac_classical_like,myCAF/matrix,7,11,0,0.0,0.0,
pdac_classical_like,myeloid,7,8,0,0.0,0.0,
pdac_classical_like,neural_schwann,7,7,0,0.0,0.0,
pdac_classical_like,panCAF,7,7,0,0.0,0.0,
pdac_classical_like,pdac_classical_like,7,7,7,1.0,1.0,AGR2;GATA6;HNF1A;HNF4A;TFF1;TFF2;TFF3
pdac_classical_like,plasma cell,7,7,0,0.0,0.0,
pdac_classical_like,proliferation,7,6,0,0.0,0.0,
pdac_classical_like,t_cell_exhaustion_checkpoint,7,6,0,0.0,0.0,
pdac_classical_like,tumor epithelial,7,6,0,0.0,0.0,
pdac_classical_like,tumor-aggressive,7,20,0,0.0,0.0,
plasma cell,B cell,7,6,0,0.0,0.0,
plasma cell,CAF-myeloid,7,25,0,0.0,0.0,
plasma cell,DC/APC,7,8,0,0.0,0.0,
plasma cell,EMT/invasion,7,7,0,0.0,0.0,
plasma cell,FDC/GC-like,7,6,0,0.0,0.0,
plasma cell,IFN/MHC antigen-presentation,7,9,0,0.0,0.0,
plasma cell,IL6-OSM/LIF-JAKSTAT,7,8,0,0.0,0.0,
plasma cell,SPP1-CD44/integrin,7,8,0,0.0,0.0,
plasma cell,SPP1/TAM,7,6,0,0.0,0.0,
plasma cell,T cell,7,5,0,0.0,0.0,
plasma cell,TGF-beta,7,6,0,0.0,0.0,
plasma cell,TGF-beta/EMT,7,13,0,0.0,0.0,
plasma cell,TGF-beta/TGFBR,7,8,0,0.0,0.0,
plasma cell,TLS chemokine,7,5,0,0.0,0.0,
plasma cell,acinar_normal,7,5,0,0.0,0.0,
plasma cell,apCAF,7,5,0,0.0,0.0,
plasma cell,basal-like,7,7,0,0.0,0.0,
plasma cell,cd8_effector,7,6,0,0.0,0.0,
plasma cell,hypoxia,7,6,0,0.0,0.0,
plasma cell,iCAF,7,7,0,0.0,0.0,
plasma cell,immune-core,7,32,7,0.21875,0.21875,IGHA1;IGHG1;IGKC;JCHAIN;MZB1;SDC1;XBP1
plasma cell,immune-maturity-like,7,32,7,0.21875,0.21875,IGHA1;IGHG1;IGKC;JCHAIN;MZB1;SDC1;XBP1
plasma cell,islet_endocrine,7,5,0,0.0,0.0,
plasma cell,matrix-integrin,7,10,0,0.0,0.0,
plasma cell,myCAF,7,8,0,0.0,0.0,
plasma cell,myCAF/matrix,7,11,0,0.0,0.0,
plasma cell,myeloid,7,8,0,0.0,0.0,
plasma cell,neural_schwann,7,7,0,0.0,0.0,
plasma cell,panCAF,7,7,0,0.0,0.0,
plasma cell,pdac_classical_like,7,7,0,0.0,0.0,
plasma cell,plasma cell,7,7,7,1.0,1.0,IGHA1;IGHG1;IGKC;JCHAIN;MZB1;SDC1;XBP1
plasma cell,proliferation,7,6,0,0.0,0.0,
plasma cell,t_cell_exhaustion_checkpoint,7,6,0,0.0,0.0,
plasma cell,tumor epithelial,7,6,0,0.0,0.0,
plasma cell,tumor-aggressive,7,20,0,0.0,0.0,
proliferation,B cell,6,6,0,0.0,0.0,
proliferation,CAF-myeloid,6,25,0,0.0,0.0,
proliferation,DC/APC,6,8,0,0.0,0.0,
proliferation,EMT/invasion,6,7,0,0.0,0.0,
proliferation,FDC/GC-like,6,6,1,0.09090909090909091,0.16666666666666666,MKI67
proliferation,IFN/MHC antigen-presentation,6,9,0,0.0,0.0,
proliferation,IL6-OSM/LIF-JAKSTAT,6,8,0,0.0,0.0,
proliferation,SPP1-CD44/integrin,6,8,0,0.0,0.0,
proliferation,SPP1/TAM,6,6,0,0.0,0.0,
proliferation,T cell,6,5,0,0.0,0.0,
proliferation,TGF-beta,6,6,0,0.0,0.0,
proliferation,TGF-beta/EMT,6,13,0,0.0,0.0,
proliferation,TGF-beta/TGFBR,6,8,0,0.0,0.0,
proliferation,TLS chemokine,6,5,0,0.0,0.0,
proliferation,acinar_normal,6,5,0,0.0,0.0,
proliferation,apCAF,6,5,0,0.0,0.0,
proliferation,basal-like,6,7,0,0.0,0.0,
proliferation,cd8_effector,6,6,0,0.0,0.0,
proliferation,hypoxia,6,6,0,0.0,0.0,
proliferation,iCAF,6,7,0,0.0,0.0,
proliferation,immune-core,6,32,0,0.0,0.0,
proliferation,immune-maturity-like,6,32,1,0.02702702702702703,0.03125,MKI67
proliferation,islet_endocrine,6,5,0,0.0,0.0,
proliferation,matrix-integrin,6,10,0,0.0,0.0,
proliferation,myCAF,6,8,0,0.0,0.0,
proliferation,myCAF/matrix,6,11,0,0.0,0.0,
proliferation,myeloid,6,8,0,0.0,0.0,
proliferation,neural_schwann,6,7,0,0.0,0.0,
proliferation,panCAF,6,7,0,0.0,0.0,
proliferation,pdac_classical_like,6,7,0,0.0,0.0,
proliferation,plasma cell,6,7,0,0.0,0.0,
proliferation,proliferation,6,6,6,1.0,1.0,BIRC5;MCM2;MKI67;PCNA;STMN1;TOP2A
proliferation,t_cell_exhaustion_checkpoint,6,6,0,0.0,0.0,
proliferation,tumor epithelial,6,6,0,0.0,0.0,
proliferation,tumor-aggressive,6,20,0,0.0,0.0,
t_cell_exhaustion_checkpoint,B cell,6,6,0,0.0,0.0,
t_cell_exhaustion_checkpoint,CAF-myeloid,6,25,0,0.0,0.0,
t_cell_exhaustion_checkpoint,DC/APC,6,8,0,0.0,0.0,
t_cell_exhaustion_checkpoint,EMT/invasion,6,7,0,0.0,0.0,
t_cell_exhaustion_checkpoint,FDC/GC-like,6,6,0,0.0,0.0,
t_cell_exhaustion_checkpoint,IFN/MHC antigen-presentation,6,9,0,0.0,0.0,
t_cell_exhaustion_checkpoint,IL6-OSM/LIF-JAKSTAT,6,8,0,0.0,0.0,
t_cell_exhaustion_checkpoint,SPP1-CD44/integrin,6,8,0,0.0,0.0,
t_cell_exhaustion_checkpoint,SPP1/TAM,6,6,0,0.0,0.0,
t_cell_exhaustion_checkpoint,T cell,6,5,0,0.0,0.0,
t_cell_exhaustion_checkpoint,TGF-beta,6,6,0,0.0,0.0,
t_cell_exhaustion_checkpoint,TGF-beta/EMT,6,13,0,0.0,0.0,
t_cell_exhaustion_checkpoint,TGF-beta/TGFBR,6,8,0,0.0,0.0,
t_cell_exhaustion_checkpoint,TLS chemokine,6,5,0,0.0,0.0,
t_cell_exhaustion_checkpoint,acinar_normal,6,5,0,0.0,0.0,
